Student_ID,Subject_Knowledge,Concept_Clarity,Presentation_Usage,Assignment_Difficulty,Doubt_Solving,Course_Structure,Student_Support,Recommendation,Event_Name,Event_Type,Department,Avg_Score,Comments,Sentiment_Score,Sentiment_Label
861,5,6,4,5,4,4,6,6,Cultural Fest,Seminar,EEE,5.0,I loved how doubts were cleared instantly.,0.4767,Positive
118,9,10,7,7,4,6,9,1,Webinar on Careers,Cultural,EEE,6.625,Assignments were too difficult for our level.,-0.3612,Negative
387,7,3,8,1,6,8,6,8,Python Bootcamp,Cultural,MECH,5.875,Excellent structure and support by the instructor.,0.7506,Positive
282,5,6,7,3,8,1,1,9,Cultural Fest,Workshop,ECE,5.0,The session was amazing and very informative.,0.5859,Positive
503,8,6,6,3,3,6,4,10,Cultural Fest,Cultural,CSE,5.75,The presentation was poor and hard to follow.,-0.5423,Negative
934,5,6,4,6,10,3,4,10,Cultural Fest,Workshop,MECH,6.0,I loved how doubts were cleared instantly.,0.4767,Positive
781,8,3,4,5,1,8,10,5,Cultural Fest,Seminar,EEE,5.5,Assignments were too difficult for our level.,-0.3612,Negative
898,10,10,4,3,5,4,2,1,Python Bootcamp,Seminar,CIVIL,4.875,Excellent structure and support by the instructor.,0.7506,Positive
474,8,3,7,6,4,3,7,7,Tech Talk,Seminar,EEE,5.625,The session was amazing and very informative.,0.5859,Positive
704,9,9,8,6,8,4,8,5,AI Workshop,Cultural,MECH,7.125,The presentation was poor and hard to follow.,-0.5423,Negative
977,9,5,4,4,6,3,1,9,Tech Talk,Seminar,MECH,5.125,I loved how doubts were cleared instantly.,0.4767,Positive
454,9,6,6,1,10,8,10,7,AI Workshop,Seminar,CSE,7.125,Assignments were too difficult for our level.,-0.3612,Negative
295,5,7,6,3,1,7,2,9,AI Workshop,Workshop,MECH,5.0,Excellent structure and support by the instructor.,0.7506,Positive
35,10,6,4,5,6,2,3,1,AI Workshop,Cultural,MECH,4.625,The session was amazing and very informative.,0.5859,Positive
304,9,9,4,6,5,1,7,2,Tech Talk,Cultural,ECE,5.375,The presentation was poor and hard to follow.,-0.5423,Negative
56,6,9,6,8,9,6,2,4,Cultural Fest,Seminar,EEE,6.25,I loved how doubts were cleared instantly.,0.4767,Positive
922,8,10,7,4,5,9,3,5,Tech Talk,Cultural,MECH,6.375,Assignments were too difficult for our level.,-0.3612,Negative
569,10,7,6,9,2,6,2,5,AI Workshop,Cultural,MECH,5.875,Excellent structure and support by the instructor.,0.7506,Positive
186,6,4,4,4,6,9,10,10,Python Bootcamp,Workshop,CSE,6.625,The session was amazing and very informative.,0.5859,Positive
258,7,2,7,2,7,2,6,10,Webinar on Careers,Cultural,CIVIL,5.375,The presentation was poor and hard to follow.,-0.5423,Negative
560,8,7,8,3,8,7,4,8,Tech Talk,Cultural,ECE,6.625,I loved how doubts were cleared instantly.,0.4767,Positive
621,10,4,5,1,5,10,1,10,Python Bootcamp,Workshop,MECH,5.75,Assignments were too difficult for our level.,-0.3612,Negative
568,10,7,4,6,10,8,10,8,Webinar on Careers,Workshop,ECE,7.875,Excellent structure and support by the instructor.,0.7506,Positive
393,6,9,8,7,5,8,1,4,Cultural Fest,Workshop,ECE,6.0,The session was amazing and very informative.,0.5859,Positive
12,8,10,7,2,8,9,6,6,Tech Talk,Cultural,EEE,7.0,The presentation was poor and hard to follow.,-0.5423,Negative
798,7,2,8,7,10,5,3,5,Webinar on Careers,Cultural,ECE,5.875,I loved how doubts were cleared instantly.,0.4767,Positive
740,8,10,7,3,2,10,10,1,Webinar on Careers,Cultural,ECE,6.375,Assignments were too difficult for our level.,-0.3612,Negative
184,10,9,8,6,4,8,8,9,Python Bootcamp,Workshop,EEE,7.75,Excellent structure and support by the instructor.,0.7506,Positive
410,7,2,5,2,6,6,3,10,Webinar on Careers,Cultural,EEE,5.125,The session was amazing and very informative.,0.5859,Positive
480,10,6,7,8,5,3,1,5,Python Bootcamp,Seminar,ECE,5.625,The presentation was poor and hard to follow.,-0.5423,Negative
84,7,4,6,10,7,7,8,9,Webinar on Careers,Seminar,EEE,7.25,I loved how doubts were cleared instantly.,0.4767,Positive
89,9,9,4,5,1,2,3,9,Cultural Fest,Cultural,EEE,5.25,Assignments were too difficult for our level.,-0.3612,Negative
763,6,9,6,7,6,10,2,5,Cultural Fest,Workshop,EEE,6.375,Excellent structure and support by the instructor.,0.7506,Positive
86,7,8,6,8,3,10,2,7,Tech Talk,Cultural,CSE,6.375,The session was amazing and very informative.,0.5859,Positive
867,6,4,6,4,2,7,5,3,Python Bootcamp,Cultural,CIVIL,4.625,The presentation was poor and hard to follow.,-0.5423,Negative
248,6,6,4,6,6,6,2,3,Tech Talk,Cultural,EEE,4.875,I loved how doubts were cleared instantly.,0.4767,Positive
751,7,3,8,10,2,7,2,6,Webinar on Careers,Seminar,CSE,5.625,Assignments were too difficult for our level.,-0.3612,Negative
522,6,9,8,10,9,5,3,6,Cultural Fest,Workshop,EEE,7.0,Excellent structure and support by the instructor.,0.7506,Positive
696,5,5,4,9,3,1,8,6,Python Bootcamp,Seminar,CIVIL,5.125,The session was amazing and very informative.,0.5859,Positive
274,8,2,4,7,10,8,5,8,Cultural Fest,Cultural,EEE,6.5,The presentation was poor and hard to follow.,-0.5423,Negative
921,9,7,5,10,10,9,6,4,Webinar on Careers,Seminar,ECE,7.5,I loved how doubts were cleared instantly.,0.4767,Positive
957,6,2,7,8,5,9,5,4,Webinar on Careers,Workshop,CSE,5.75,Assignments were too difficult for our level.,-0.3612,Negative
88,9,4,4,9,9,9,7,10,Cultural Fest,Cultural,EEE,7.625,Excellent structure and support by the instructor.,0.7506,Positive
149,5,6,5,1,8,9,7,8,AI Workshop,Cultural,MECH,6.125,The session was amazing and very informative.,0.5859,Positive
737,7,9,4,5,5,2,2,1,Webinar on Careers,Cultural,ECE,4.375,The presentation was poor and hard to follow.,-0.5423,Negative
891,7,2,4,9,6,9,7,9,AI Workshop,Workshop,ECE,6.625,I loved how doubts were cleared instantly.,0.4767,Positive
1,9,6,8,7,6,5,3,10,Tech Talk,Cultural,ECE,6.75,Assignments were too difficult for our level.,-0.3612,Negative
868,7,9,7,2,6,2,9,4,Tech Talk,Workshop,EEE,5.75,Excellent structure and support by the instructor.,0.7506,Positive
895,5,5,7,7,2,1,8,9,Webinar on Careers,Cultural,ECE,5.5,The session was amazing and very informative.,0.5859,Positive
638,9,10,8,2,1,1,4,8,AI Workshop,Cultural,MECH,5.375,The presentation was poor and hard to follow.,-0.5423,Negative
707,5,6,6,5,1,9,6,9,Tech Talk,Cultural,ECE,5.875,I loved how doubts were cleared instantly.,0.4767,Positive
432,9,9,6,8,2,3,2,4,Python Bootcamp,Workshop,ECE,5.375,Assignments were too difficult for our level.,-0.3612,Negative
988,7,4,6,7,6,9,7,1,Python Bootcamp,Seminar,EEE,5.875,Excellent structure and support by the instructor.,0.7506,Positive
742,7,7,8,2,1,1,8,1,Python Bootcamp,Seminar,CIVIL,4.375,The session was amazing and very informative.,0.5859,Positive
730,6,5,4,5,6,6,7,2,Tech Talk,Seminar,MECH,5.125,The presentation was poor and hard to follow.,-0.5423,Negative
321,5,7,6,2,3,5,3,5,Tech Talk,Workshop,CSE,4.5,I loved how doubts were cleared instantly.,0.4767,Positive
904,8,5,8,9,7,9,8,6,AI Workshop,Cultural,ECE,7.5,Assignments were too difficult for our level.,-0.3612,Negative
171,6,10,4,6,1,6,2,3,AI Workshop,Cultural,CIVIL,4.75,Excellent structure and support by the instructor.,0.7506,Positive
695,10,4,4,1,5,8,7,1,Cultural Fest,Cultural,EEE,5.0,The session was amazing and very informative.,0.5859,Positive
498,8,5,4,5,10,7,1,10,Cultural Fest,Seminar,CSE,6.25,The presentation was poor and hard to follow.,-0.5423,Negative
446,7,8,5,10,10,2,5,9,Cultural Fest,Cultural,MECH,7.0,I loved how doubts were cleared instantly.,0.4767,Positive
982,9,10,7,5,6,6,1,5,Webinar on Careers,Seminar,ECE,6.125,Assignments were too difficult for our level.,-0.3612,Negative
981,7,6,7,5,4,6,8,3,Tech Talk,Cultural,MECH,5.75,Excellent structure and support by the instructor.,0.7506,Positive
849,6,10,6,7,7,4,10,7,Cultural Fest,Seminar,ECE,7.125,The session was amazing and very informative.,0.5859,Positive
297,7,10,6,8,10,10,2,8,Python Bootcamp,Cultural,CIVIL,7.625,The presentation was poor and hard to follow.,-0.5423,Negative
713,8,6,7,5,2,7,10,8,Tech Talk,Seminar,MECH,6.625,I loved how doubts were cleared instantly.,0.4767,Positive
192,8,4,8,6,3,5,1,5,AI Workshop,Workshop,CSE,5.0,Assignments were too difficult for our level.,-0.3612,Negative
561,9,6,4,8,6,8,3,3,AI Workshop,Seminar,EEE,5.875,Excellent structure and support by the instructor.,0.7506,Positive
364,6,6,7,9,6,4,7,6,Webinar on Careers,Cultural,CIVIL,6.375,The session was amazing and very informative.,0.5859,Positive
40,6,7,5,6,10,5,6,3,Python Bootcamp,Seminar,MECH,6.0,The presentation was poor and hard to follow.,-0.5423,Negative
521,5,9,4,2,1,8,3,7,Cultural Fest,Workshop,MECH,4.875,I loved how doubts were cleared instantly.,0.4767,Positive
201,8,2,8,9,8,8,9,4,AI Workshop,Workshop,MECH,7.0,Assignments were too difficult for our level.,-0.3612,Negative
780,6,4,4,10,6,5,6,8,Cultural Fest,Workshop,CIVIL,6.125,Excellent structure and support by the instructor.,0.7506,Positive
853,7,9,4,8,9,4,10,2,AI Workshop,Cultural,MECH,6.625,The session was amazing and very informative.,0.5859,Positive
202,5,6,6,10,3,4,2,8,AI Workshop,Seminar,CIVIL,5.5,The presentation was poor and hard to follow.,-0.5423,Negative
421,6,3,8,10,6,8,7,9,Webinar on Careers,Seminar,MECH,7.125,I loved how doubts were cleared instantly.,0.4767,Positive
671,9,8,6,10,10,7,7,8,AI Workshop,Cultural,MECH,8.125,Assignments were too difficult for our level.,-0.3612,Negative
334,5,9,4,3,8,10,4,2,Cultural Fest,Seminar,CIVIL,5.625,Excellent structure and support by the instructor.,0.7506,Positive
843,6,8,5,4,5,5,10,6,Webinar on Careers,Seminar,CSE,6.125,The session was amazing and very informative.,0.5859,Positive
57,10,7,6,10,4,4,2,4,Tech Talk,Seminar,CIVIL,5.875,The presentation was poor and hard to follow.,-0.5423,Negative
353,6,7,5,3,6,6,7,5,Cultural Fest,Cultural,CSE,5.625,I loved how doubts were cleared instantly.,0.4767,Positive
681,7,2,7,5,2,1,3,7,Webinar on Careers,Cultural,MECH,4.25,Assignments were too difficult for our level.,-0.3612,Negative
394,6,3,6,10,7,4,3,3,Tech Talk,Cultural,MECH,5.25,Excellent structure and support by the instructor.,0.7506,Positive
188,7,6,8,9,9,8,9,10,AI Workshop,Workshop,CSE,8.25,The session was amazing and very informative.,0.5859,Positive
641,5,10,6,7,4,2,5,4,Webinar on Careers,Workshop,CSE,5.375,The presentation was poor and hard to follow.,-0.5423,Negative
544,10,7,8,4,6,5,7,8,Python Bootcamp,Workshop,MECH,6.875,I loved how doubts were cleared instantly.,0.4767,Positive
163,9,3,4,7,3,8,6,8,Cultural Fest,Workshop,EEE,6.0,Assignments were too difficult for our level.,-0.3612,Negative
283,9,2,6,1,2,10,5,5,Tech Talk,Workshop,ECE,5.0,Excellent structure and support by the instructor.,0.7506,Positive
820,6,5,4,9,2,5,10,7,AI Workshop,Seminar,CIVIL,6.0,The session was amazing and very informative.,0.5859,Positive
254,6,6,6,8,9,4,4,8,Tech Talk,Cultural,CIVIL,6.375,The presentation was poor and hard to follow.,-0.5423,Negative
221,9,6,8,1,8,2,5,6,Webinar on Careers,Workshop,ECE,5.625,I loved how doubts were cleared instantly.,0.4767,Positive
736,8,2,8,8,2,6,5,4,Tech Talk,Cultural,MECH,5.375,Assignments were too difficult for our level.,-0.3612,Negative
280,9,10,4,7,7,3,5,4,Webinar on Careers,Cultural,CIVIL,6.125,Excellent structure and support by the instructor.,0.7506,Positive
976,5,2,5,5,7,9,4,3,Python Bootcamp,Cultural,EEE,5.0,The session was amazing and very informative.,0.5859,Positive
481,9,10,8,9,1,3,1,9,Webinar on Careers,Workshop,CSE,6.25,The presentation was poor and hard to follow.,-0.5423,Negative
80,7,6,4,1,5,6,1,8,Cultural Fest,Workshop,CIVIL,4.75,I loved how doubts were cleared instantly.,0.4767,Positive
473,10,10,7,5,2,6,10,5,AI Workshop,Workshop,MECH,6.875,Assignments were too difficult for our level.,-0.3612,Negative
762,10,7,5,7,8,9,3,4,Cultural Fest,Cultural,EEE,6.625,Excellent structure and support by the instructor.,0.7506,Positive
385,5,2,6,7,3,2,10,1,Python Bootcamp,Seminar,CSE,4.5,The session was amazing and very informative.,0.5859,Positive
195,9,7,5,5,10,10,5,1,Webinar on Careers,Workshop,CSE,6.5,The presentation was poor and hard to follow.,-0.5423,Negative
144,8,6,5,6,3,8,2,6,Webinar on Careers,Seminar,CSE,5.5,I loved how doubts were cleared instantly.,0.4767,Positive
767,10,10,8,3,9,6,4,8,Cultural Fest,Workshop,CIVIL,7.25,Assignments were too difficult for our level.,-0.3612,Negative
300,6,8,4,5,5,9,5,4,Webinar on Careers,Cultural,ECE,5.75,Excellent structure and support by the instructor.,0.7506,Positive
580,5,2,5,8,6,5,4,9,Python Bootcamp,Workshop,MECH,5.5,The session was amazing and very informative.,0.5859,Positive
216,5,9,8,2,4,8,9,10,Tech Talk,Workshop,CIVIL,6.875,The presentation was poor and hard to follow.,-0.5423,Negative
583,9,3,4,6,5,3,8,7,Tech Talk,Seminar,MECH,5.625,I loved how doubts were cleared instantly.,0.4767,Positive
881,7,9,5,9,4,5,4,8,Python Bootcamp,Cultural,EEE,6.375,Assignments were too difficult for our level.,-0.3612,Negative
488,8,8,6,9,7,4,6,1,Tech Talk,Workshop,CSE,6.125,Excellent structure and support by the instructor.,0.7506,Positive
892,5,8,8,9,6,9,10,6,Python Bootcamp,Cultural,CIVIL,7.625,The session was amazing and very informative.,0.5859,Positive
152,7,2,5,1,5,10,5,6,Webinar on Careers,Workshop,ECE,5.125,The presentation was poor and hard to follow.,-0.5423,Negative
925,7,10,6,7,9,10,1,3,Tech Talk,Workshop,MECH,6.625,I loved how doubts were cleared instantly.,0.4767,Positive
729,9,9,8,7,5,4,5,5,Tech Talk,Workshop,EEE,6.5,Assignments were too difficult for our level.,-0.3612,Negative
647,5,5,8,8,9,6,9,8,AI Workshop,Cultural,CIVIL,7.25,Excellent structure and support by the instructor.,0.7506,Positive
686,8,6,5,5,2,6,5,8,Cultural Fest,Seminar,MECH,5.625,The session was amazing and very informative.,0.5859,Positive
93,9,10,6,4,9,6,7,8,Tech Talk,Cultural,CIVIL,7.375,The presentation was poor and hard to follow.,-0.5423,Negative
485,8,4,7,1,4,7,1,4,Tech Talk,Workshop,CIVIL,4.5,I loved how doubts were cleared instantly.,0.4767,Positive
59,5,8,5,6,10,3,4,10,Tech Talk,Cultural,CIVIL,6.375,Assignments were too difficult for our level.,-0.3612,Negative
907,10,4,7,6,1,2,5,1,Cultural Fest,Cultural,ECE,4.5,Excellent structure and support by the instructor.,0.7506,Positive
158,10,6,5,6,2,10,3,8,AI Workshop,Workshop,EEE,6.25,The session was amazing and very informative.,0.5859,Positive
955,10,4,4,1,10,1,10,10,Webinar on Careers,Seminar,CIVIL,6.25,The presentation was poor and hard to follow.,-0.5423,Negative
758,8,3,7,7,9,6,7,5,AI Workshop,Workshop,ECE,6.5,I loved how doubts were cleared instantly.,0.4767,Positive
605,6,4,4,4,7,5,5,2,Cultural Fest,Workshop,CIVIL,4.625,Assignments were too difficult for our level.,-0.3612,Negative
475,10,6,4,9,3,1,6,7,AI Workshop,Seminar,ECE,5.75,Excellent structure and support by the instructor.,0.7506,Positive
154,9,7,4,8,2,6,3,9,Python Bootcamp,Cultural,CSE,6.0,The session was amazing and very informative.,0.5859,Positive
79,6,4,6,6,6,4,9,10,Tech Talk,Seminar,ECE,6.375,The presentation was poor and hard to follow.,-0.5423,Negative
36,10,6,5,2,1,9,9,6,Python Bootcamp,Workshop,EEE,6.0,I loved how doubts were cleared instantly.,0.4767,Positive
562,6,3,6,7,8,7,4,1,Cultural Fest,Seminar,MECH,5.25,Assignments were too difficult for our level.,-0.3612,Negative
231,10,7,8,1,3,3,3,3,Python Bootcamp,Cultural,MECH,4.75,Excellent structure and support by the instructor.,0.7506,Positive
869,8,7,6,2,9,4,1,7,Python Bootcamp,Seminar,EEE,5.5,The session was amazing and very informative.,0.5859,Positive
608,7,4,6,5,4,7,8,7,Webinar on Careers,Seminar,EEE,6.0,The presentation was poor and hard to follow.,-0.5423,Negative
846,10,7,7,4,7,10,7,1,Tech Talk,Seminar,MECH,6.625,I loved how doubts were cleared instantly.,0.4767,Positive
542,10,4,7,7,2,2,5,9,Tech Talk,Seminar,EEE,5.75,Assignments were too difficult for our level.,-0.3612,Negative
941,9,3,7,2,9,7,3,1,Webinar on Careers,Seminar,CSE,5.125,Excellent structure and support by the instructor.,0.7506,Positive
919,10,2,8,5,6,3,8,5,AI Workshop,Workshop,ECE,5.875,The session was amazing and very informative.,0.5859,Positive
352,6,2,6,3,5,3,8,6,Tech Talk,Cultural,EEE,4.875,The presentation was poor and hard to follow.,-0.5423,Negative
839,9,2,5,10,4,4,9,1,Webinar on Careers,Cultural,CSE,5.5,I loved how doubts were cleared instantly.,0.4767,Positive
266,8,8,5,6,6,8,2,2,Webinar on Careers,Seminar,CSE,5.625,Assignments were too difficult for our level.,-0.3612,Negative
298,8,4,8,9,7,1,7,3,Cultural Fest,Seminar,MECH,5.875,Excellent structure and support by the instructor.,0.7506,Positive
929,10,2,6,1,1,9,9,7,Cultural Fest,Seminar,ECE,5.625,The session was amazing and very informative.,0.5859,Positive
574,6,4,8,5,9,5,7,10,AI Workshop,Seminar,MECH,6.75,The presentation was poor and hard to follow.,-0.5423,Negative
250,5,7,7,3,1,6,3,1,Cultural Fest,Seminar,MECH,4.125,I loved how doubts were cleared instantly.,0.4767,Positive
616,9,8,6,9,6,3,5,8,Python Bootcamp,Cultural,MECH,6.75,Assignments were too difficult for our level.,-0.3612,Negative
164,8,5,7,10,8,9,10,1,Tech Talk,Workshop,CSE,7.25,Excellent structure and support by the instructor.,0.7506,Positive
827,6,3,4,9,7,8,7,6,Cultural Fest,Seminar,MECH,6.25,The session was amazing and very informative.,0.5859,Positive
228,7,6,6,1,6,6,6,9,Tech Talk,Workshop,MECH,5.875,The presentation was poor and hard to follow.,-0.5423,Negative
787,10,10,5,10,1,9,3,8,AI Workshop,Cultural,CIVIL,7.0,I loved how doubts were cleared instantly.,0.4767,Positive
317,8,8,4,1,10,10,9,1,Tech Talk,Workshop,CSE,6.375,Assignments were too difficult for our level.,-0.3612,Negative
110,9,6,4,1,4,7,9,5,AI Workshop,Workshop,CIVIL,5.625,Excellent structure and support by the instructor.,0.7506,Positive
165,6,2,6,2,2,10,2,2,Tech Talk,Cultural,CIVIL,4.0,The session was amazing and very informative.,0.5859,Positive
701,5,9,7,1,9,9,1,9,Python Bootcamp,Seminar,CIVIL,6.25,The presentation was poor and hard to follow.,-0.5423,Negative
362,7,9,6,7,4,8,1,2,Webinar on Careers,Cultural,ECE,5.5,I loved how doubts were cleared instantly.,0.4767,Positive
890,8,7,5,3,9,1,4,5,AI Workshop,Workshop,MECH,5.25,Assignments were too difficult for our level.,-0.3612,Negative
728,10,9,4,8,5,2,3,10,Python Bootcamp,Seminar,ECE,6.375,Excellent structure and support by the instructor.,0.7506,Positive
466,9,8,5,5,6,2,10,4,AI Workshop,Seminar,CIVIL,6.125,The session was amazing and very informative.,0.5859,Positive
709,9,3,6,4,4,8,10,1,Webinar on Careers,Cultural,MECH,5.625,The presentation was poor and hard to follow.,-0.5423,Negative
482,10,3,4,3,10,1,8,5,Tech Talk,Cultural,CSE,5.5,I loved how doubts were cleared instantly.,0.4767,Positive
406,9,10,6,1,6,1,9,2,AI Workshop,Workshop,CSE,5.5,Assignments were too difficult for our level.,-0.3612,Negative
66,8,5,8,7,6,1,9,9,AI Workshop,Seminar,ECE,6.625,Excellent structure and support by the instructor.,0.7506,Positive
862,6,5,6,5,7,2,10,8,Tech Talk,Workshop,ECE,6.125,The session was amazing and very informative.,0.5859,Positive
61,9,8,6,5,3,10,6,6,Tech Talk,Seminar,MECH,6.625,The presentation was poor and hard to follow.,-0.5423,Negative
111,7,9,7,1,10,10,3,10,Cultural Fest,Seminar,CIVIL,7.125,I loved how doubts were cleared instantly.,0.4767,Positive
147,6,8,4,6,9,6,8,7,Tech Talk,Seminar,CIVIL,6.75,Assignments were too difficult for our level.,-0.3612,Negative
211,7,4,4,3,7,8,7,10,Tech Talk,Workshop,EEE,6.25,Excellent structure and support by the instructor.,0.7506,Positive
996,6,5,6,10,8,7,8,4,Cultural Fest,Cultural,CSE,6.75,The session was amazing and very informative.,0.5859,Positive
459,8,5,8,6,6,1,8,4,Webinar on Careers,Cultural,MECH,5.75,The presentation was poor and hard to follow.,-0.5423,Negative
81,5,5,6,5,7,3,9,5,Python Bootcamp,Workshop,MECH,5.625,I loved how doubts were cleared instantly.,0.4767,Positive
288,5,9,6,9,4,4,2,6,Tech Talk,Cultural,MECH,5.625,Assignments were too difficult for our level.,-0.3612,Negative
6,7,10,8,3,3,4,1,2,Cultural Fest,Workshop,EEE,4.75,Excellent structure and support by the instructor.,0.7506,Positive
547,6,6,8,5,1,2,2,8,Cultural Fest,Workshop,CIVIL,4.75,The session was amazing and very informative.,0.5859,Positive
30,6,2,7,5,1,10,9,10,AI Workshop,Workshop,ECE,6.25,The presentation was poor and hard to follow.,-0.5423,Negative
445,9,4,4,2,4,8,1,6,Tech Talk,Workshop,CSE,4.75,I loved how doubts were cleared instantly.,0.4767,Positive
591,6,9,8,5,10,6,2,10,Python Bootcamp,Cultural,CIVIL,7.0,Assignments were too difficult for our level.,-0.3612,Negative
770,10,10,5,7,10,7,7,10,Webinar on Careers,Cultural,MECH,8.25,Excellent structure and support by the instructor.,0.7506,Positive
484,9,6,8,10,3,2,8,4,Cultural Fest,Workshop,ECE,6.25,The session was amazing and very informative.,0.5859,Positive
180,8,4,4,1,6,9,6,1,Python Bootcamp,Workshop,CIVIL,4.875,The presentation was poor and hard to follow.,-0.5423,Negative
946,5,5,5,6,1,3,10,5,Python Bootcamp,Cultural,EEE,5.0,I loved how doubts were cleared instantly.,0.4767,Positive
901,9,8,6,1,2,9,8,2,Webinar on Careers,Workshop,MECH,5.625,Assignments were too difficult for our level.,-0.3612,Negative
517,10,5,7,7,5,10,6,5,Cultural Fest,Seminar,EEE,6.875,Excellent structure and support by the instructor.,0.7506,Positive
545,9,4,8,1,8,6,2,4,AI Workshop,Workshop,ECE,5.25,The session was amazing and very informative.,0.5859,Positive
918,8,3,8,9,9,1,6,1,AI Workshop,Seminar,EEE,5.625,The presentation was poor and hard to follow.,-0.5423,Negative
652,8,3,4,8,3,2,2,3,Tech Talk,Seminar,CIVIL,4.125,I loved how doubts were cleared instantly.,0.4767,Positive
471,10,10,4,8,2,2,4,7,AI Workshop,Cultural,EEE,5.875,Assignments were too difficult for our level.,-0.3612,Negative
323,6,8,7,5,4,1,9,3,AI Workshop,Cultural,ECE,5.375,Excellent structure and support by the instructor.,0.7506,Positive
276,8,5,7,9,1,10,1,2,AI Workshop,Workshop,ECE,5.375,The session was amazing and very informative.,0.5859,Positive
672,7,8,5,6,5,10,5,10,Python Bootcamp,Workshop,EEE,7.0,The presentation was poor and hard to follow.,-0.5423,Negative
337,10,7,6,8,9,5,1,1,AI Workshop,Cultural,CSE,5.875,I loved how doubts were cleared instantly.,0.4767,Positive
468,7,7,8,4,2,1,5,10,Webinar on Careers,Seminar,ECE,5.5,Assignments were too difficult for our level.,-0.3612,Negative
380,8,8,4,8,2,4,9,2,Python Bootcamp,Workshop,CSE,5.625,Excellent structure and support by the instructor.,0.7506,Positive
755,9,8,7,2,9,6,3,7,Webinar on Careers,Seminar,CIVIL,6.375,The session was amazing and very informative.,0.5859,Positive
267,8,9,4,4,8,4,8,1,Python Bootcamp,Seminar,EEE,5.75,The presentation was poor and hard to follow.,-0.5423,Negative
598,9,3,4,9,3,4,5,1,Cultural Fest,Seminar,ECE,4.75,I loved how doubts were cleared instantly.,0.4767,Positive
